cvr_number,company_name,website,bucket,industry_code,industry_name,gdpr_sensitive,contactable,cms,hosting,ssl_valid,ssl_expiry,subdomain_count,findings_count
33575149,immodenmark.dk,immodenmark.dk,A,282200,,True,True,WordPress,Unknown,True,2026-06-06,0,7
25958349,impc.dk,impc.dk,E,261200,,False,True,,Unknown,True,2026-06-05,0,4
32569064,ipnetcom.dk,ipnetcom.dk,A,619000,,True,True,WordPress,Unknown,True,2026-05-11,0,7
26862019,its-teknik.dk,its-teknik.dk,A,279000,,False,True,WordPress,Unknown,True,2026-05-22,0,7
13908885,jafnet.dk,jafnet.dk,A,962100,,True,True,WordPress,Cloudflare,True,2026-05-11,0,7
34677026,jellingfriskole.dk,jellingfriskole.dk,A,949900,,False,True,WordPress,LiteSpeed,True,2026-06-26,0,7
15928492,jellinggk.dk,jellinggk.dk,A,931200,,True,True,WordPress,LiteSpeed,True,2026-05-28,0,7
33269668,jellingkro.dk,jellingkro.dk,A,561110,,True,True,WordPress,LiteSpeed,True,2027-01-21,0,8
17862073,jellingmusikfestival.dk,jellingmusikfestival.dk,E,949900,,True,True,,Cloudflare,True,2026-05-10,0,3
17349317,jelva.dk,jelva.dk,E,353000,,False,True,,Unknown,False,,0,5
31270618,kasmirvejle.dk,kasmirvejle.dk,D,477110,,False,True,,Unknown,False,,0,5
29146233,kemic.dk,kemic.dk,A,282900,,True,True,WordPress,Unknown,True,2026-05-23,0,8
64360728,kfumid.dk,kfumid.dk,E,931200,,False,True,,Unknown,False,,0,5
36499923,klimaenergi.dk,klimaenergi.dk,A,468300,,True,True,WordPress,Unknown,True,2026-06-05,0,7
69358810,km.dk,km.dk,E,949100,,False,False,,Unknown,True,2026-05-10,0,3
44448416,kssvejle.dk,kssvejle.dk,D,852010,,False,True,,Unknown,False,,0,5
25485408,ktlarsen.dk,ktlarsen.dk,D,561110,,False,True,,Unknown,False,,0,5
49857217,kudsk-dahl.dk,kudsk-dahl.dk,E,081200,,True,True,,Unknown,True,2026-04-29,0,0
10643694,kunst-klipperiet.dk,kunst-klipperiet.dk,D,962100,,False,True,,Unknown,False,,0,5
69120717,lantmannen.com,lantmannen.com,E,106100,,False,True,,Cloudflare,True,2026-06-19,0,1
32654088,lcd.dk,lcd.dk,A,469000,,False,True,WordPress,Unknown,True,2026-05-02,0,6
37605212,lhm.dk,lhm.dk,E,468100,,True,True,,Unknown,True,2026-06-12,0,1
25382773,limbo.works,limbo.works,E,621000,,True,True,,Unknown,True,2026-05-10,0,4
12029233,lind-kruse.dk,lind-kruse.dk,A,682040,,True,True,WordPress,LiteSpeed,True,2026-05-26,0,7
20648279,logosconsult.dk,logosconsult.dk,A,621000,,True,True,WordPress,LiteSpeed,True,2026-06-23,0,8
40014519,lrs.dk,lrs.dk,E,949900,,True,True,,Cloudflare,True,2026-06-20,0,4
25647599,ls-elvarme.dk,ls-elvarme.dk,A,466400,,True,True,WordPress,LiteSpeed,True,2026-05-30,0,8
77951210,lukas-skolen.dk,lukas-skolen.dk,E,852010,,True,True,,Cloudflare,True,2026-06-21,0,4
17027077,mariasplads.onmicrosoft.com,mariasplads.onmicrosoft.com,D,862100,,False,True,,Unknown,False,,0,5
12518277,markering.dk,markering.dk,E,466400,,False,True,,Unknown,False,,0,5
52968615,massage-rygterapi.dk,massage-rygterapi.dk,E,682040,,False,True,,Unknown,True,2026-05-14,0,4
31884136,megawash.dk,megawash.dk,A,953190,,True,True,WordPress,Unknown,True,2026-05-01,0,7
37153648,mikkelsen19.dk,mikkelsen19.dk,E,471120,,False,True,,Unknown,False,,0,5
27457169,minkobmand.dk,minkobmand.dk,E,471120,,True,True,,Unknown,False,,0,6
30740491,missit.dk,missit.dk,A,477120,,True,True,WordPress,LiteSpeed,True,2026-05-19,0,7
29020590,mistbanken.dk,mistbanken.dk,E,889990,,False,True,,Unknown,True,2026-06-05,0,0
44424010,moelholm-varmevaerk.dk,moelholm-varmevaerk.dk,E,353000,,False,True,,Unknown,True,2026-10-31,0,1
11560431,multivac.dk,multivac.dk,E,468900,,True,True,,Unknown,False,,0,6
32108407,muskelsvindler.dk,muskelsvindler.dk,E,639100,,False,True,,Unknown,True,2026-06-01,0,4
35683305,nyvejlecaravan.dk,nyvejlecaravan.dk,E,478100,,False,True,,Cloudflare,True,2026-06-14,0,2
51592018,oase-outdoors.dk,oase-outdoors.dk,E,464910,,False,True,,Unknown,True,2026-09-11,0,4
35921451,ok-fonden.dk,ok-fonden.dk,A,871010,,False,True,WordPress,Unknown,True,2026-07-30,0,6
29756376,onkelogtante.dk,onkelogtante.dk,A,889130,,False,True,WordPress,LiteSpeed,True,2026-05-04,0,7
40229310,osterbo.dk,osterbo.dk,E,683210,,False,True,,Unknown,True,2026-11-02,0,1
73790212,palleiversen.dk,palleiversen.dk,A,468200,,True,True,WordPress,Cloudflare,True,2026-06-10,0,6
27199992,papugabus.dk,papugabus.dk,D,493200,,False,True,,Unknown,False,,0,5
26972167,pc.dk,pc.dk,E,561110,,False,True,,Unknown,True,2026-06-23,0,3
27397387,photocare.dk,photocare.dk,C,477800,,True,True,Shopify,Cloudflare,True,2026-06-27,0,0
18309882,pj-huse.dk,pj-huse.dk,A,410000,,True,True,WordPress,Unknown,False,,0,7
29991987,post6.tele.dk,post6.tele.dk,D,591400,,False,True,,Unknown,False,,0,5
12193432,privat.dk,privat.dk,E,011900,,False,True,,Unknown,True,2026-06-23,0,3
20451610,profibermail.dk,profibermail.dk,E,855900,,False,True,,Unknown,False,,0,5
36851813,puratos.com,puratos.com,E,103900,,True,True,,Unknown,True,2026-09-25,0,1
54988214,ranch-svendsen.com,ranch-svendsen.com,A,477700,,True,True,WordPress,LiteSpeed,True,2026-05-13,0,8
19170675,ravnarkitektur.dk,ravnarkitektur.dk,A,711100,,False,True,WordPress,Unknown,True,2026-11-24,0,6
38726390,rema1000.dk,rema1000.dk,E,471130,,False,False,,Unknown,True,2026-08-22,0,3
35143114,revisorlund.dk,revisorlund.dk,E,692000,,False,True,,Unknown,False,,0,5
29550697,roedkilde-gym.dk,roedkilde-gym.dk,A,853120,,True,True,WordPress,Unknown,True,2026-05-22,0,2
37302694,roenshauge.dk,roenshauge.dk,A,011100,,True,True,WordPress,LiteSpeed,True,2026-06-19,0,8
36025123,roestnielsen.dk,roestnielsen.dk,A,749990,,True,True,WordPress,Unknown,True,2026-05-09,0,6
26919010,rollco.dk,rollco.dk,E,466200,,True,True,,Unknown,True,2026-06-05,0,2
12614330,romsdal.dk,romsdal.dk,E,014100,,False,True,,Unknown,False,,0,5
71776557,ryansfisk.dk,ryansfisk.dk,C,463220,,False,True,Wix,Unknown,True,2026-04-26,0,3
30940938,sandvad-sognegaard.dk,sandvad-sognegaard.dk,E,562100,,True,True,,Unknown,True,2026-05-17,0,1
34053065,savirdesign.dk,savirdesign.dk,A,464700,,True,True,WordPress,Unknown,True,2026-06-21,0,7
35845798,servicekompagniet.dk,servicekompagniet.dk,A,812290,,True,True,WordPress,Cloudflare,True,2026-05-29,0,8
31421470,sharksmedia.dk,sharksmedia.dk,B,621000,,True,True,Drupal,Cloudflare,True,2026-05-10,0,4
17218018,skals.dk,skals.dk,A,283000,,False,True,WordPress,Unknown,True,2026-05-01,0,6
45609510,skolenfor.dk,skolenfor.dk,A,853200,,True,True,WordPress,LiteSpeed,True,2026-06-05,0,8
29829519,skousen.dk,skousen.dk,E,475400,,True,True,,Cloudflare,True,2026-06-08,0,3
16643483,skovadvokater.dk,skovadvokater.dk,A,691000,,True,True,WordPress,Unknown,True,2026-04-30,0,7
31348455,skybrands.net,skybrands.net,A,464100,,True,True,WordPress,LiteSpeed,True,2026-05-23,0,8
36504463,skyggebjerg.com,skyggebjerg.com,E,016100,,False,True,,Unknown,False,,0,5
37909823,soderbergpartners.dk,soderbergpartners.dk,E,662200,,False,True,,Cloudflare,True,2026-06-24,0,0
36732288,soendergaard-svaneby.dk,soendergaard-svaneby.dk,E,433200,,False,True,,Unknown,True,2026-05-14,0,4
69338119,sogn.dk,sogn.dk,B,949100,,False,True,TYPO3,Unknown,True,2026-05-23,0,5
65219328,somandsmissionen.dk,somandsmissionen.dk,A,949100,,True,True,WordPress,Unknown,True,2026-05-29,0,7
27618820,sorenssmedie.dk,sorenssmedie.dk,E,255300,,True,True,,Unknown,True,2026-06-05,0,4
70090414,sportspharma.dk,sportspharma.dk,E,464910,,True,True,,Unknown,True,2026-06-07,0,4
30817710,ss-el.dk,ss-el.dk,E,432100,,False,True,,Unknown,False,,0,5
66427218,staalservice.dk,staalservice.dk,E,259900,,False,True,,Unknown,True,2026-05-10,0,4
81543313,steinerskolen-vejle.dk,steinerskolen-vejle.dk,E,852010,,False,True,,Unknown,True,2026-04-29,0,4
34077053,storgaard.eu,storgaard.eu,E,472700,,False,True,,Unknown,True,2026-06-14,0,3
32093337,strauss.dk,strauss.dk,A,142100,,True,True,WordPress,Unknown,True,2026-06-23,0,5
19944107,supersellers.dk,supersellers.dk,C,466400,,True,True,Shopify,Cloudflare,True,2026-06-27,0,4
39494647,t-elteknik.dk,t-elteknik.dk,A,432100,,True,True,WordPress,LiteSpeed,False,,0,7
33575106,tajco-group.com,tajco-group.com,C,467200,,False,True,Wix,Unknown,True,2026-05-12,0,2
30792653,tandklinikken-vejle.dk,tandklinikken-vejle.dk,E,862300,,False,True,,Unknown,True,2026-06-18,0,3
27657524,tandvejle.dk,tandvejle.dk,B,862300,,True,True,Drupal,Unknown,True,2026-05-26,0,4
25400453,tinnetgaard.dk,tinnetgaard.dk,A,773990,,True,True,WordPress,Unknown,True,2026-06-02,0,4
21576875,torvehallerne.dk,torvehallerne.dk,E,551000,,False,True,,Unknown,True,2026-05-08,0,3
29789711,triplecut.com,triplecut.com,A,255300,,False,True,WordPress,LiteSpeed,True,2026-06-21,0,7
31755077,trunksleeves.com.dk,trunksleeves.com.dk,D,461100,,False,True,,Unknown,False,,0,5
30338421,tuba.dk,tuba.dk,E,889990,,True,True,,Cloudflare,True,2026-05-16,0,3
17632809,ulf.dk,ulf.dk,A,889910,,True,True,WordPress,Unknown,True,2026-06-08,0,6
37232718,vandelefterskole.dk,vandelefterskole.dk,A,853110,,True,True,WordPress,Unknown,True,2026-05-12,0,5
31085179,vejle-boldklub.dk,vejle-boldklub.dk,E,931200,,True,True,,Unknown,True,2026-05-10,0,4
28200374,vejle-danhostel.dk,vejle-danhostel.dk,A,552000,,True,True,WordPress,LiteSpeed,True,2026-05-26,0,8
39122081,vejle-kirkegaarde.dk,vejle-kirkegaarde.dk,B,949100,,True,False,Drupal,LiteSpeed,True,2026-05-04,0,4
13399700,vejle.dk,vejle.dk,E,889150,,False,True,,Unknown,True,2026-05-03,0,3
